State,County,IA Pop 2000,IA Pop 2001,IA Pop 2002,IA Pop 2003,IA Pop 2004,IA Pop 2005,IA Pop 2006,IA Pop 2007,IA Pop 2008,IA Pop 2009
IA,Iowa,"2,929,067","2,931,997","2,934,234","2,941,999","2,953,635","2,964,454","2,982,644","2,999,212","3,016,734","3,032,870"
IA,.Adair County,"8,223","8,132","8,059","8,050","8,019","7,932","7,924","7,871","7,747","7,676"
IA,.Adams County,"4,476","4,402","4,370","4,365","4,307","4,226","4,224","4,195","4,151","4,047"
IA,.Allamakee County,"14,674","14,333","14,289","14,345","14,324","14,371","14,378","14,335","14,325","14,263"
IA,.Appanoose County,"13,696","13,578","13,420","13,522","13,462","13,453","13,319","13,105","12,950","12,896"
IA,.Audubon County,"6,804","6,664","6,572","6,479","6,430","6,324","6,265","6,222","6,200","6,136"
IA,.Benton County,"25,326","25,532","25,829","25,946","26,181","26,265","26,137","26,066","26,097","26,117"
IA,.Black Hawk County,"128,019","127,765","126,876","126,491","126,682","127,021","127,486","127,756","129,203","130,595"
IA,.Boone County,"26,251","26,249","26,086","26,232","26,372","26,500","26,471","26,553","26,454","26,360"
IA,.Bremer County,"23,312","23,506","23,386","23,549","23,728","23,833","24,054","24,237","24,162","24,183"
IA,.Buchanan County,"21,064","20,952","20,796","20,822","20,910","20,831","20,957","21,069","21,154","21,016"
IA,.Buena Vista County,"20,361","20,241","20,233","20,141","20,000","19,970","19,909","19,798","19,855","20,004"
IA,.Butler County,"15,299","15,065","14,926","14,939","14,985","14,965","14,931","14,961","14,957","14,699"
IA,.Calhoun County,"11,088","10,918","10,683","10,488","10,382","10,228","10,093","9,947","9,845","9,684"
IA,.Carroll County,"21,382","21,225","21,159","21,024","20,936","20,973","20,832","20,869","20,742","20,743"
IA,.Cass County,"14,675","14,488","14,242","14,275","14,142","14,002","14,021","13,988","13,935","13,949"
IA,.Cedar County,"18,199","18,126","18,150","18,224","18,248","18,213","18,332","18,321","18,460","18,458"
IA,.Cerro Gordo County,"46,389","45,844","45,430","45,412","44,993","44,741","44,531","44,461","44,285","44,239"
IA,.Cherokee County,"13,019","12,905","12,685","12,579","12,510","12,380","12,215","12,152","12,014","11,953"
IA,.Chickasaw County,"13,168","13,192","12,941","12,770","12,691","12,561","12,603","12,540","12,471","12,465"
IA,.Clarke County,"9,194","9,207","9,213","9,282","9,307","9,180","9,196","9,149","9,217","9,228"
IA,.Clay County,"17,360","17,256","17,086","16,985","16,960","16,848","16,812","16,725","16,697","16,708"
IA,.Clayton County,"18,611","18,529","18,369","18,357","18,358","18,269","18,272","18,259","18,209","18,185"
IA,.Clinton County,"50,120","49,889","49,659","49,585","49,498","49,475","49,487","49,342","49,303","49,147"
IA,.Crawford County,"16,944","16,960","16,981","16,953","16,941","16,920","16,868","16,931","16,881","16,944"
IA,.Dallas County,"41,446","43,204","44,960","47,118","50,387","53,042","56,158","59,164","62,144","64,489"
IA,.Davis County,"8,544","8,588","8,586","8,534","8,612","8,583","8,619","8,676","8,675","8,701"
IA,.Decatur County,"8,645","8,669","8,603","8,575","8,580","8,618","8,576","8,569","8,457","8,506"
IA,.Delaware County,"18,416","18,294","18,271","18,190","18,066","17,955","17,957","17,981","17,840","17,755"
IA,.Des Moines County,"42,253","41,820","41,138","41,047","40,562","40,332","40,192","40,206","40,235","40,379"
