State,County,OR Pop 2000,OR Pop 2001,OR Pop 2002,OR Pop 2003,OR Pop 2004,OR Pop 2005,OR Pop 2006,OR Pop 2007,OR Pop 2008,OR Pop 2009
OR,Texas,"20,944,499","21,319,622","21,690,325","22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761"
OR,.Anderson County,"55,062","54,263","54,740","56,068","56,245","56,873","57,386","57,870","57,963","58,410"
OR,.Andrews County,"12,949","12,856","13,022","12,976","13,006","13,016","13,195","13,513","14,099","14,601"
OR,.Angelina County,"80,270","80,273","80,803","81,510","82,070","82,553","83,810","84,518","84,961","86,029"
OR,.Aransas County,"22,452","22,287","22,616","22,843","23,067","23,561","23,395","23,172","23,225","23,291"
OR,.Archer County,"8,966","8,849","8,942","9,013","9,078","9,068","9,063","9,026","9,104","9,023"
OR,.Armstrong County,"2,166","2,128","2,036","2,001","2,023","2,037","1,989","1,936","1,936","1,911"
OR,.Atascosa County,"38,805","39,828","40,767","41,306","42,109","42,495","43,059","43,611","43,947","44,623"
OR,.Austin County,"23,836","24,341","24,818","25,388","25,976","26,331","26,828","27,454","27,935","28,254"
OR,.Bailey County,"6,596","6,636","6,637","6,791","6,945","7,024","7,001","6,927","6,979","7,050"
OR,.Bandera County,"17,755","18,125","18,652","19,044","19,226","19,428","19,775","20,254","20,407","20,365"
OR,.Bastrop County,"58,234","61,106","63,508","65,825","67,122","68,233","69,720","71,348","72,389","73,587"
OR,.Baylor County,"4,135","3,930","3,897","3,941","3,955","3,877","3,870","3,905","3,747","3,726"
OR,.Bee County,"32,200","31,695","31,804","32,620","32,352","32,101","31,977","31,936","31,814","31,864"
OR,.Bell County,"239,890","244,299","249,671","252,922","258,138","266,017","273,771","287,752","297,873","301,050"
OR,.Bexar County,"1,398,834","1,419,020","1,446,755","1,469,623","1,500,919","1,529,270","1,573,935","1,615,210","1,651,709","1,685,628"
OR,.Blanco County,"8,495","8,776","8,950","9,096","9,337","9,554","9,686","9,835","10,061","10,315"
OR,.Borden County,715,677,685,666,671,638,634,597,612,618
OR,.Bosque County,"17,218","17,338","17,474","17,647","17,871","17,990","18,046","18,077","17,939","18,004"
OR,.Bowie County,"89,156","88,942","88,813","88,839","89,055","89,239","90,235","90,456","91,349","92,231"
OR,.Brazoria County,"243,116","248,280","255,246","261,269","268,051","274,336","284,248","293,296","301,336","309,236"
OR,.Brazos County,"153,145","155,533","159,297","163,279","166,150","169,824","175,433","179,472","185,098","191,434"
OR,.Brewster County,"8,903","8,836","8,945","9,030","9,002","8,830","8,790","8,843","8,868","9,054"
OR,.Briscoe County,"1,796","1,764","1,746","1,763","1,768","1,726","1,704","1,647","1,651","1,634"
OR,.Brooks County,"7,944","7,669","7,668","7,627","7,593","7,562","7,490","7,413","7,345","7,297"
OR,.Brown County,"37,689","37,599","37,766","37,654","37,940","38,172","38,492","38,221","38,135","38,001"
OR,.Burleson County,"16,553","16,650","16,666","16,881","16,964","17,167","17,000","16,982","17,025","17,076"
OR,.Burnet County,"34,505","35,741","36,850","37,776","38,966","39,798","41,109","42,026","42,477","42,611"
OR,.Caldwell County,"32,378","33,654","34,715","35,330","36,200","36,388","36,533","36,906","37,671","37,829"
OR,.Calhoun County,"20,676","20,762","20,550","20,575","20,692","20,715","20,839","20,888","21,127","21,388"
OR,.Callahan County,"12,885","12,703","12,799","12,913","13,156","13,281","13,309","13,418","13,474","13,548"
OR,.Cameron County,"336,123","342,368","350,194","358,492","366,299","373,429","380,169","386,306","393,000","400,303"
OR,.Camp County,"11,568","11,399","11,549","11,582","11,715","11,990","12,068","12,253","12,331","12,364"
OR,.Carson County,"6,492","6,385","6,508","6,391","6,381","6,449","6,413","6,361","6,260","6,220"
OR,.Cass County,"30,412","30,134","30,120","30,065","30,053","30,088","30,095","30,176","30,217","30,297"
OR,.Castro County,"8,229","8,155","8,083","8,037","7,947","7,908","7,780","7,737","7,758","7,856"
OR,.Chambers County,"26,188","26,811","27,490","28,021","28,749","29,388","29,980","30,714","31,619","34,230"
OR,.Cherokee County,"46,790","47,007","47,136","47,832","48,315","48,751","49,162","49,669","49,976","50,447"
OR,.Childress County,"7,676","7,531","7,428","7,411","7,366","7,205","7,214","7,148","7,123","7,030"
OR,.Clay County,"11,064","11,131","11,292","11,270","11,278","11,317","11,157","11,051","10,843","10,832"
OR,.Cochran County,"3,707","3,674","3,521","3,490","3,373","3,338","3,257","3,194","3,100","3,086"
OR,.Coke County,"3,844","3,810","3,732","3,678","3,559","3,540","3,492","3,375","3,348","3,310"
OR,.Coleman County,"9,180","9,103","8,937","8,827","8,817","8,739","8,853","8,774","8,899","8,867"
OR,.Collin County,"499,118","534,642","563,565","589,394","617,802","647,187","683,935","714,330","741,264","765,791"
OR,.Collingsworth County,"3,193","3,086","3,093","3,026","3,028","2,980","2,952","2,973","3,017","3,042"
OR,.Colorado County,"20,326","20,125","20,328","20,507","20,450","20,493","20,608","20,648","20,818","20,784"
OR,.Comal County,"78,583","80,630","82,797","84,837","88,119","91,018","95,637","99,540","103,272","106,350"
OR,.Comanche County,"13,998","13,710","13,582","13,526","13,646","13,746","13,814","13,775","13,834","13,912"
OR,.Concho County,"3,963","3,921","3,959","3,991","4,018","4,039","3,957","4,018","4,108","4,076"
OR,.Cooke County,"36,433","36,844","37,390","37,598","37,815","38,143","38,241","38,252","38,223","38,413"
OR,.Coryell County,"75,199","74,083","73,135","71,364","71,943","72,610","72,217","73,324","74,552","74,673"
OR,.Cottle County,"1,883","1,774","1,726","1,699","1,679","1,653","1,577","1,513","1,527","1,509"
OR,.Crane County,"3,951","3,893","3,891","3,847","3,865","3,840","3,855","3,976","4,157","4,333"
OR,.Crockett County,"4,012","3,844","3,841","3,862","3,857","3,851","3,739","3,759","3,783","3,740"
OR,.Crosby County,"7,053","6,955","6,852","6,718","6,625","6,521","6,466","6,262","6,192","6,057"
OR,.Culberson County,"2,948","2,865","2,829","2,778","2,695","2,648","2,587","2,536","2,490","2,384"
OR,.Dallam County,"6,224","6,210","6,159","6,148","6,208","6,238","6,205","6,336","6,506","6,571"
OR,.Dallas County,"2,220,848","2,249,418","2,250,326","2,246,432","2,244,020","2,250,830","2,275,434","2,291,891","2,314,018","2,346,378"
OR,.Dawson County,"14,935","14,863","14,429","14,354","14,062","14,092","13,987","13,865","13,804","13,741"
OR,.Deaf Smith County,"18,515","18,391","18,439","18,454","18,671","18,737","18,770","18,916","19,054","19,084"
OR,.Delta County,"5,323","5,295","5,366","5,310","5,409","5,314","5,355","5,199","5,252","5,180"
OR,.Denton County,"438,791","463,688","487,617","509,732","529,811","553,669","584,561","609,001","630,104","649,702"
OR,.DeWitt County,"19,943","20,066","20,015","20,034","20,176","20,342","20,108","19,961","19,902","20,048"
OR,.Dickens County,"2,724","2,653","2,679","2,670","2,641","2,563","2,466","2,461","2,400","2,423"
OR,.Dimmit County,"10,160","10,030","10,042","10,075","9,964","10,031","9,972","9,845","9,833","9,848"
OR,.Donley County,"3,813","3,829","3,825","3,898","3,915","3,833","3,779","3,806","3,688","3,670"
OR,.Duval County,"13,007","12,830","12,707","12,570","12,539","12,426","12,298","12,097","11,945","11,917"
OR,.Eastland County,"18,296","18,061","18,252","18,333","18,442","18,533","18,545","18,636","18,520","18,497"
OR,.Ector County,"120,694","120,802","122,199","122,739","124,163","125,378","127,476","130,459","133,064","136,930"
OR,.Edwards County,"2,143","2,070","2,056","2,042","2,027","2,011","1,995","2,062","2,084","2,012"
OR,.Ellis County,"112,330","115,286","118,737","122,620","125,733","129,955","135,276","139,988","144,394","147,392"
OR,.El Paso County,"681,729","689,163","696,446","705,200","717,652","728,095","744,795","755,578","769,930","786,759"
OR,.Erath County,"33,057","33,045","33,619","34,131","34,887","35,336","36,355","36,678","37,137","37,594"
OR,.Falls County,"18,522","18,280","18,090","18,086","18,066","17,990","17,945","17,712","17,698","17,762"
OR,.Fannin County,"31,334","31,400","31,808","32,380","32,692","33,221","33,540","33,644","33,870","33,865"
OR,.Fayette County,"21,864","22,397","22,668","22,910","23,107","23,342","23,631","23,898","24,347","24,470"
OR,.Fisher County,"4,340","4,257","4,242","4,191","4,118","4,135","4,098","4,080","4,065","4,014"
OR,.Floyd County,"7,734","7,452","7,289","7,364","7,130","6,983","6,855","6,683","6,528","6,508"
OR,.Foard County,"1,594","1,606","1,536","1,513","1,492","1,439","1,432","1,383","1,334","1,321"
OR,.Fort Bend County,"358,738","375,708","397,943","418,747","441,139","462,953","490,916","516,564","542,957","569,130"
OR,.Franklin County,"9,459","9,521","9,536","9,597","9,731","10,745","10,755","10,799","10,604","10,601"
OR,.Freestone County,"17,902","18,127","18,395","18,483","18,684","18,843","19,123","19,162","19,446","19,743"
OR,.Frio County,"16,203","16,315","16,467","16,477","16,532","16,618","16,720","16,776","16,939","17,120"
OR,.Gaines County,"14,473","14,451","14,453","14,747","14,978","15,331","15,707","16,187","16,641","17,163"
OR,.Galveston County,"250,675","254,521","260,096","265,269","269,760","274,806","279,182","283,770","288,643","287,428"
OR,.Garza County,"4,904","5,275","5,385","5,531","5,800","5,742","5,996","6,049","6,158","6,368"
OR,.Gillespie County,"20,902","21,104","21,585","22,128","22,454","22,858","23,487","23,787","24,206","24,608"
OR,.Glasscock County,"1,407","1,351","1,339","1,332","1,290","1,273","1,202","1,164","1,218","1,224"
OR,.Goliad County,"7,007","7,020","7,051","7,135","7,071","7,070","7,121","7,142","7,164","7,157"
OR,.Gonzales County,"18,642","18,714","18,882","19,181","19,370","19,656","19,633","19,512","19,538","19,628"
OR,.Gray County,"22,578","22,171","21,940","21,762","21,551","21,776","22,100","22,438","22,772","22,719"
OR,.Grayson County,"110,939","112,330","113,239","114,421","114,998","115,666","117,174","118,331","118,834","120,069"
OR,.Gregg County,"111,255","111,791","112,767","113,775","114,541","115,402","117,118","118,260","119,157","121,238"
OR,.Grimes County,"23,601","24,219","24,736","25,016","25,209","25,350","25,639","26,046","26,273","26,422"
OR,.Guadalupe County,"89,841","92,626","95,246","98,137","101,495","105,585","111,878","117,667","123,398","128,265"
OR,.Hale County,"36,581","35,876","35,598","35,553","36,259","36,066","36,162","36,080","35,662","35,926"
OR,.Hall County,"3,749","3,750","3,709","3,699","3,665","3,613","3,582","3,440","3,398","3,343"
OR,.Hamilton County,"8,239","8,169","8,069","8,225","8,181","8,263","8,389","8,452","8,497","8,527"
OR,.Hansford County,"5,347","5,299","5,242","5,216","5,209","5,258","5,293","5,365","5,512","5,556"
OR,.Hardeman County,"4,718","4,609","4,547","4,534","4,474","4,417","4,409","4,296","4,187","4,086"
OR,.Hardin County,"48,162","48,463","49,045","49,472","50,220","51,141","51,470","52,446","53,206","54,228"
OR,.Harris County,"3,414,239","3,471,291","3,536,682","3,586,133","3,630,185","3,681,829","3,807,435","3,863,344","3,938,580","4,034,866"
