State,County,Year,Population,Unemployment Rate,2019 Median Income
OK,Oklahoma,2000,"3,454,365",3,
OK,Adair County,2000,"21,031",2.6,
OK,Alfalfa County,2000,"6,080",2.9,
OK,Atoka County,2000,"13,820",3.6,
OK,Beaver County,2000,"5,782",2.4,
OK,Beckham County,2000,"19,777",3.1,
OK,Blaine County,2000,"11,959",3.6,
OK,Bryan County,2000,"36,604",3.2,
OK,Caddo County,2000,"30,037",3.7,
OK,Canadian County,2000,"88,230",2.3,
OK,Carter County,2000,"45,547",7.2,
OK,Cherokee County,2000,"42,635",4.5,
OK,Choctaw County,2000,"15,325",6.5,
OK,Cimarron County,2000,"3,121",2.2,
OK,Cleveland County,2000,"208,614",5,
OK,Coal County,2000,"6,009",4.2,
OK,Comanche County,2000,"115,082",2.2,
OK,Cotton County,2000,"6,613",3.2,
OK,Craig County,2000,"14,928",3.5,
OK,Creek County,2000,"67,507",3.2,
OK,Custer County,2000,"26,066",3.4,
OK,Delaware County,2000,"37,108",3.5,
OK,Dewey County,2000,"4,714",2.7,
OK,Ellis County,2000,"4,050",2.6,
OK,Garfield County,2000,"57,721",2.7,
OK,Garvin County,2000,"27,258",3.4,
OK,Grady County,2000,"45,534",4.5,
OK,Grant County,2000,"5,127",4,
OK,Greer County,2000,"6,044",3.9,
OK,Harmon County,2000,"3,272",2.7,
OK,Harper County,2000,"3,537",3.6,
OK,Haskell County,2000,"11,818",2.3,
OK,Hughes County,2000,"14,106",5.1,
OK,Jackson County,2000,"28,278",5.2,
OK,Jefferson County,2000,"6,773",4,
OK,Johnston County,2000,"10,521",2.9,
OK,Kay County,2000,"47,954",4.2,
OK,Kingfisher County,2000,"13,898",2.2,
OK,Kiowa County,2000,"10,201",3.1,
OK,Latimer County,2000,"10,661",4.7,
OK,Le Flore County,2000,"48,104",4.2,
OK,Lincoln County,2000,"32,155",6.2,
OK,Logan County,2000,"33,967",4.1,
OK,Love County,2000,"8,826",3.5,
OK,McClain County,2000,"27,863",2.5,
OK,McCurtain County,2000,"34,348",4.7,
OK,McIntosh County,2000,"19,432",4.3,
OK,Major County,2000,"7,536",2.3,
OK,Marshall County,2000,"13,170",4.8,
OK,Mayes County,2000,"38,413",3.3,
OK,Murray County,2000,"12,582",3.4,
OK,Muskogee County,2000,"69,418",3.8,
OK,Noble County,2000,"11,385",2.9,
OK,Nowata County,2000,"10,583",3.4,
OK,Okfuskee County,2000,"11,841",3.8,
OK,Oklahoma County,2000,"661,769",2.8,
OK,Okmulgee County,2000,"39,625",4.4,
OK,Osage County,2000,"44,579",4.4,
OK,Ottawa County,2000,"33,214",3,
OK,Pawnee County,2000,"16,684",2.8,
OK,Payne County,2000,"68,350",2.4,
OK,Pittsburg County,2000,"43,982",4.4,
OK,Pontotoc County,2000,"35,148",4.5,
OK,Pottawatomie County,2000,"65,647",3.2,
OK,Pushmataha County,2000,"11,638",4.3,
OK,Roger Mills County,2000,"3,426",2.4,
OK,Rogers County,2000,"71,383",2.6,
