County,Year,Cumulative Capacity of Wind Farm (in MW),Wind Farm Name,Duplicated
Boone County,2017.0,30.0,30 MW Iowa DG Portfolio,False
Poweshiek County,2017.0,30.0,30 MW Iowa DG Portfolio,True
Story County,2017.0,30.0,30 MW Iowa DG Portfolio,True
Story County,2017.0,30.0,30 MW Iowa DG Portfolio,True
Story County,2017.0,30.0,30 MW Iowa DG Portfolio,True
Story County,2017.0,30.0,30 MW Iowa DG Portfolio,True
Hardin County,2017.0,30.0,30 MW Iowa DG Portfolio,True
Story County,2017.0,30.0,30 MW Iowa DG Portfolio,True
Story County,2017.0,30.0,30 MW Iowa DG Portfolio,True
Story County,2017.0,30.0,30 MW Iowa DG Portfolio,True
Story County,2012.0,9.6,AG Land 1,False
Story County,2012.0,9.6,AG Land 2,False
Story County,2012.0,9.6,AG Land 3,False
Story County,2012.0,9.6,AG Land 4,False
Hamilton County,2012.0,9.6,AG Land 5,False
Hamilton County,2012.0,9.6,AG Land 6,False
Adair County,2008.0,174.8,Adair,False
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Cass County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Cass County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Cass County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
Adair County,2008.0,174.8,Adair,True
