County,Wind Farm Name,Year,Turbine Count,Cumulative Capacity of Wind Farm (in MW),Turbine Manufacturer,Turbine Model,Turbine Hub Height,Rotor Diameter,Longitude,Latitude
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56799,32.91327
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.5562,32.99262
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.50873,33.01292
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.51255,33.00785
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.53223,33.06864
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52813,33.02889
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.5881,32.89581
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54548,33.09148
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.49898,33.04936
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54331,33.04118
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56061,32.91028
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.5816,32.88803
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52808,33.05191
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.51091,33.04374
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.57878,32.90409
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.51517,33.0123
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.58898,32.88286
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.5071,33.05494
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.55611,33.01964
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.59386,32.88686
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56575,32.89686
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.57781,32.91018
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52039,33.07149
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.58295,32.90431
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.53332,32.96473
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56403,32.98405
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.5686,32.89082
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54122,33.03074
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.53352,33.02515
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.5294,32.96099
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.5946,32.87386
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.51564,33.03854
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.51244,33.05536
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.5025,33.04059
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56422,32.91092
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.57375,32.90838
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54499,33.08201
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54961,33.03352
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52942,33.03648
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.57236,32.8898
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.57259,33.00726
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52293,33.05171
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54704,32.99675
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.59049,33.00243
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.505,33.00221
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.49427,33.03181
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.60215,32.8946
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.51813,33.05258
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.53368,33.04452
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.5514,33.02129
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56276,32.99558
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56841,33.00704
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.57486,32.91821
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.58538,33.00439
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52546,33.02178
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.58066,33.00531
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.57402,32.90321
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.50671,33.04271
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.55407,33.03184
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.5603,32.89323
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54147,32.99033
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.53799,33.08588
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.49732,33.03795
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.59841,32.89005
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.53662,32.98877
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.59158,32.89856
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.58901,32.90821
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.58499,32.89265
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52064,33.03036
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54065,33.09126
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.57687,32.88889
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.55681,32.89385
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.5874,32.87516
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56976,32.98749
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.60146,32.87976
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.499,33.00184
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52744,33.07086
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.5438,33.05064
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.57116,32.91568
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.58606,32.90645
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.5651,32.89236
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.55832,33.03214
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52982,33.05947
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54948,33.08141
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.53359,33.03643
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.59412,32.90086
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE1.79-100,80.0,100.0,-100.59956,32.87219
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.52367,33.03871
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.5192,33.02145
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.51762,33.01464
Stonewall County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.49897,33.0593
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.53845,33.03853
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.54691,33.02776
Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.57022,32.89464
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.53255,32.9761
Kent County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56281,33.00883
Scurry County,Amazon Wind Farm Texas,2017.0,110,253.0,GE Wind,GE2.3-116,80.0,116.0,-101.00261,32.87671
Scurry County,Amazon Wind Farm Texas,2017.0,110,253.0,GE Wind,GE2.3-116,80.0,116.0,-100.99703,32.89035
Scurry County,Amazon Wind Farm Texas,2017.0,110,253.0,GE Wind,GE2.3-116,80.0,116.0,-100.99365,32.91711
