County,Wind Farm Name,Year,Turbine Count,Cumulative Capacity of Wind Farm (in MW),Turbine Manufacturer,Turbine Model,Turbine Hub Height,Rotor Diameter,Longitude,Latitude
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.19896,34.39424
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.1606,34.383
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.18465,34.3923
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.13735,34.40107
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.1819,34.39153
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.15817,34.38242
Carter County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.15462,34.35919
Carter County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.17186,34.36692
Carter County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.16906,34.36686
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.20379,34.41398
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.14662,34.38006
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.1995,34.37991
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.17584,34.38897
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.13879,34.37655
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.20815,34.39444
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.19387,34.3946
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.20275,34.37935
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.15571,34.41707
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.20545,34.39418
Murray County,Arbuckle Mountain,2015,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.14967,34.37993
