County,Wind Farm Name,Year,Turbine Count,Cumulative Capacity of Wind Farm (in MW),Turbine Manufacturer,Turbine Model,Turbine Hub Height,Rotor Diameter,Longitude,Latitude,Duplicated
Boone County,30 MW Iowa DG Portfolio,2017.0,10,30.0,Nordex,AW125/3000,87.5,125.0,-93.70042,41.97761,False
Story County,AG Land 1,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.32569,42.20639,False
Story County,AG Land 2,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.42809,42.14609,False
Story County,AG Land 3,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.43199,42.14559,False
Story County,AG Land 4,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.3549,41.90419,False
Hamilton County,AG Land 5,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.6321,42.33549,False
Hamilton County,AG Land 6,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.6368,42.33549,False
Adair County,Adair,2008.0,76,174.8,Siemens,SWT-2.3-93,80.0,93.0,-94.67889,41.44399,False
Adams County,Adams,2016.0,64,154.28,Siemens,SWT-2.3-108,80.0,108.0,-94.71634,40.92387,False
Adair County,Arbor Hill,2018.0,17,29.17,Vestas,V110-2.0,95.0,110.0,-94.25361,41.47968,False
Adair County,Arbor Hill 2019,2020.0,17,60.4,Vestas,V110-2.0,95.0,110.0,-94.31039,41.42224,False
Taylor County,August Wind Energy LLC,2017.0,1,1.79,GE Wind,GE1.79-100,80.0,100.0,-94.47563,40.76495,False
Worth County,Barton,2009.0,80,160.0,Gamesa,G87-2.0,78.0,87.0,-93.0919,43.37869,False
Boone County,Beaver Creek,2017.0,85,170.0,Vestas,V110-2.0,95.0,110.0,-94.16252,42.07365,False
Greene County,Beaver Creek II,2018.0,85,170.0,Vestas,V110-2.0,95.0,110.0,-94.20839,42.11522,False
Taylor County,Birch Power LLC,2017.0,1,1.79,GE Wind,GE1.79-100,80.0,100.0,-94.4744,40.76769,False
Dickinson County,unknown Dickinson County,2018.0,2,,,,,,-95.35707,43.2755,False
Worth County,unknown Worth County,2021.0,71,,,,,,-93.16725,43.48476,False
Adair County,Bulldog,2010.0,1,1.5,GE Wind,GE1.5-77,80.0,77.0,-94.44049,41.22569,False
Buchanan County,Burco Farm & Feed,2010.0,1,0.1,Northern Power Systems,NPS-100,,,-91.88751,42.56381,False
Winnebago County,CR Holland Crane Service,2017.0,1,0.1,Northern Power Systems,NPS-100,37.0,24.0,-93.63378,43.27931,False
Bremer County,Cannon 1,2009.0,1,0.95,EWT,DW-54-900,75.0,54.0,-92.3689,42.73275,False
Bremer County,Cannon II,2012.0,1,0.9,EWT,DW-54-900,75.0,54.0,-92.3681,42.73549,False
Carroll County,Carroll,2008.0,100,150.0,GE Wind,GE1.5-91.5,80.0,91.5,-94.97249,42.17469,False
Carroll County,Carroll Area,2015.0,9,20.0,Siemens,SWT-2.3-108,80.0,108.0,-94.89042,41.93733,False
Hamilton County,Century,2005.0,100,150.0,GE Wind,GE1.5-82.5,65.0,82.5,-93.6874,42.5537,False
Hamilton County,Century Expansion,2005.0,35,35.0,Mitsubishi,MWT62/1.0,69.0,61.4,-93.66599,42.50369,False
Cerro Gordo County,Cerro Gordo Repower,2020.0,48,199.8,GE Wind,GE2.3-116,80.0,116.0,-93.44816,43.05482,False
Floyd County,Charles City,2008.0,50,75.0,GE Wind,GE1.5-91.5,80.0,91.5,-92.72649,43.00419,False
Story County,Clark Thompson 1,2009.0,1,0.9,,,,,-93.59239,42.20809,False
Taylor County,Contrail,2020.0,41,112.42,GE Wind,GE2.82-127,89.0,127.0,-94.90746,40.5934,False
Howard County,Crane Creek,2009.0,66,99.0,GE Wind,GE1.5-77,80.0,77.0,-92.51759,43.40989,False
Clay County,Cross Winds,2007.0,10,21.0,Suzlon,S88,79.0,88.0,-94.92289,43.04749,False
Hancock County,Crystal Lake I,2008.0,100,150.0,GE Wind,GE1.5-91,80.0,91.0,-93.86309,43.20709,False
Winnebago County,Crystal Lake II,2008.0,76,190.0,GE Wind,GE2.5-116,80.0,116.0,-93.70709,43.31939,False
Winnebago County,Crystal Lake III,2009.0,44,66.0,GE Wind,GE1.5-82.5,80.0,82.5,-93.88379,43.31919,False
Adair County,Cumberland Rose,2012.0,1,1.6,GE Wind,GE1.6-82.5,80.0,82.5,-94.43489,41.22709,False
Iowa County,Diamond Trail,2020.0,46,168.8,Vestas,V136-4.3,105.0,136.0,-92.14601,41.67981,False
Iowa County,Diamond Trail Expansion,2020.0,31,83.7,Vestas,V110-2.2,95.0,110.0,-92.14018,41.72224,False
Guthrie County,Eclipse,2012.0,87,200.1,Siemens,SWT-2.3-108,80.0,108.0,-94.65989,41.54269,False
Hardin County,Eldora-New Providence Schools,2002.0,1,0.75,NEG Micon,NM48,55.0,48.0,-93.1156,42.35476,False
Delaware County,Elk,2011.0,17,42.5,Nordex,N100,100.0,100.0,-91.3635,42.61939,False
Osceola County,Endeavor,2008.0,30,75.0,GE Wind,GE2.5-116,80.0,116.0,-95.40249,43.38909,False
Osceola County,Endeavor II,2008.0,20,50.0,GE Wind,GE2.5-116,80.0,116.0,-95.4567,43.43229,False
Poweshiek County,English Farms,2019.0,69,170.3,GE Wind,GE2.5-127,89.0,127.0,-92.36263,41.5695,False
Dickinson County,Flying Cloud,2003.0,29,43.5,GE Wind,GE1.5-70.5,80.0,70.5,-95.33709,43.39889,False
Adair County,Forward Fontanelle,2012.0,1,1.6,GE Wind,GE1.6-82.5,80.0,82.5,-94.57069,41.33959,False
Franklin County,Franklin County,2012.0,60,99.0,Vestas,V82-1.65,80.0,82.0,-93.30679,42.60409,False
Story County,"GWE, LLC",2012.0,2,4.0,HZ Windpower,H93-2000,80.0,93.0,-93.47801,42.00063,False
Cherokee County,Glaciers Edge,2019.0,82,212.04,GE Wind,GE2.82-127,89.0,127.0,-95.748,42.86111,False
Kossuth County,Golden Plains,2020.0,82,199.82,GE Wind,GE2.3-116,80.0,116.0,-94.03507,43.35181,False
Cass County,Green Energy Machine,2016.0,1,1.79,GE Wind,GE 1.7-100,80.0,100.0,-94.75351,41.37022,False
Adair County,Greenfield Wind,2012.0,1,1.6,GE Wind,GE1.6-82.5,80.0,82.5,-94.48858,41.29052,False
