,State,County,Wind Farm Name,Year,Turbine Count,WF Total MW,Turbine Manufacturer,Turbine Model,Turbine Hub Height,Rotor Diameter,lng,lat,Duplicated
0,IA,Boone County,30 MW Iowa DG Portfolio,2017.0,10,30.0,Nordex,AW125/3000,87.5,125.0,-93.70042,41.97761,False
10,MA,Barnstable County,6th Space Warning Squadron,2013.0,2,3.36,GE Wind,GE1.68-82.5,80.0,82.5,-70.5418,41.75249,False
12,MA,Barnstable County,AFCEE MMR Turbines,2011.0,2,3.0,GE Wind,GE1.5-77,80.0,77.0,-70.5453,41.75759,False
14,IA,Story County,AG Land 1,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.32569,42.20639,False
15,IA,Story County,AG Land 2,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.42809,42.14609,False
16,IA,Story County,AG Land 3,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.43199,42.14559,False
17,IA,Story County,AG Land 4,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.3549,41.90419,False
18,IA,Hamilton County,AG Land 5,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.6321,42.33549,False
19,IA,Hamilton County,AG Land 6,2012.0,6,9.6,GE Wind,GE1.6-82.5,80.0,82.5,-93.6368,42.33549,False
20,OH,Wood County,AMP-Ohio/Green Mountain Energy Wind Farm,2004.0,2,3.6,Vestas,V80-1.8,78.0,80.0,-83.7363,41.38469,False
22,IA,Adair County,Adair,2008.0,76,174.8,Siemens,SWT-2.3-93,80.0,93.0,-94.67889,41.44399,False
100,IA,Adams County,Adams,2016.0,64,154.28,Siemens,SWT-2.3-108,80.0,108.0,-94.71634,40.92387,False
165,MN,Meeker County,"Adams Wind Generations, LLC",2011.0,12,19.8,Alstom,ECO 86,80.0,85.5,-94.73169,44.91699,False
177,MN,Clay County,Agassiz Beach,2001.0,3,1.98,Vestas,V47-0.66,65.0,47.0,-96.43549,47.00519,False
180,IL,Bureau County,Agriwind,2008.0,4,8.4,Suzlon,S88,80.0,88.0,-89.61939,41.30299,False
184,NE,Brown County,Ainsworth Wind Project (NPPD),2005.0,36,59.4,Vestas,V82-1.65,70.0,82.0,-99.91056,42.47505,False
221,MA,Barnstable County,Air Force (Barnstable),2009.0,1,1.5,Fuhrlander,FL1500,80.0,77.0,-70.5911,41.65769,False
222,WY,Laramie County,Air Force (Laramie),2009.0,1,2.0,Gamesa,G87-2.0,78.0,87.0,-104.88469,41.17829,False
223,KS,Rush County,Alexander,2015.0,21,48.3,Siemens,SWT-2.3-108,80.0,108.0,-99.53708,38.4296,False
244,CA,Kern County,Alite Wind Farm,2008.0,8,24.0,Vestas,V90-3.0,80.0,90.0,-118.33999,35.036,False
252,PA,Cambria County,Allegheny Ridge,2007.0,40,80.0,Gamesa,G87-2.0,78.0,87.0,-78.5812,40.37569,False
294,CA,Kern County,Alta I,2010.0,100,150.0,GE Wind,GE1.5-77,80.0,77.0,-118.36419,35.0281,False
394,CA,Kern County,Alta II,2010.0,50,150.0,Vestas,V90-3.0,80.0,90.0,-118.23441,35.00824,False
435,CA,Kern County,Alta III,2011.0,50,150.0,Vestas,V90-3.0,80.0,90.0,-118.26739,35.006,False
485,CA,Kern County,Alta IV,2011.0,34,102.0,Vestas,V90-3.0,80.0,90.0,-118.25889,35.02079,False
522,CA,Kern County,Alta V,2011.0,56,168.0,Vestas,V90-3.0,80.0,90.0,-118.26189,35.00119,False
579,CA,Kern County,Alta VI (partial),2011.0,44,132.0,Vestas,V90-3.0,80.0,90.0,-118.31369,35.0179,False
625,CA,Kern County,Alta VIII (partial),2011.0,43,129.0,Vestas,V90-3.0,80.0,90.0,-118.22689,34.9836,False
684,CA,Kern County,Alta X,2013.0,48,136.8,GE Wind,GE2.85-103,85.0,103.0,-118.21568,35.1098,False
732,CA,Kern County,Alta XI,2013.0,48,89.65,GE Wind,GE1.7-100,80.0,100.0,-118.383,35.07352,False
781,TX,Fisher County,Amadeus,2020.0,96,250.12,GE Wind,GE2.82-127,89.0,127.0,-100.56799,32.91327,False
877,IN,Benton County,Amazon Wind Farm (Fowler Ridge),2015.0,65,149.5,Siemens,SWT-2.3-108,80.0,108.0,-87.40192,40.63009,False
942,TX,Scurry County,Amazon Wind Farm Texas,2017.0,110,253.0,GE Wind,GE2.3-116,80.0,116.0,-101.00261,32.87671,False
1052,OH,Paulding County,Amazon Wind Farm US Central,2016.0,48,100.8,Gamesa,G114-2.1,93.0,114.0,-84.71558,41.14741,False
1100,NC,Perquimans County,Amazon Wind Farm US East,2017.0,104,208.0,Gamesa,G114-2.0,93.0,114.0,-76.44619,36.29742,False
1205,TX,Lubbock County,American Windmill Museum,2005.0,1,0.66,Vestas,V47-0.66,50.0,47.0,-101.82389,33.58089,False
1206,TX,Kinney County,Anacacho,2012.0,55,99.0,Vestas,V100-1.8,80.0,100.0,-100.20351,29.18324,False
1261,NM,Chaves County,Anderson Wind Project,2014.0,8,14.95,Vestas,V82-1.65,80.0,82.0,-103.85541,33.03595,False
1269,CA,Solano County,Anheuser-Busch Fairfield,2011.0,1,1.5,GE Wind,GE1.5-77,65.0,77.0,-122.08929,38.2323,False
1271,NH,Hillsborough County,Antrim,2019.0,9,28.8,Siemens,SWT-3.2-113,92.5,113.0,-72.0195,43.05661,False
1280,TX,Denton County,Apogee Stadium Wind,2012.0,3,0.3,Northern Power Systems,NW100,37.0,21.0,-97.161,33.2012,False
1283,NC,Watauga County,Appalachian State,2009.0,1,0.1,,,,,-81.69221,36.21349,False
1284,MI,Huron County,Apple Blossom,2017.0,29,100.05,Vestas,V126-3.45,87.0,126.0,-83.30182,43.80687,False
1313,MA,Essex County,Applied Materials,2012.0,1,2.5,Kenersys,K100,100.0,100.0,-70.6494,42.62819,False
1314,NM,Guadalupe County,Aragonne Wind LLC (Pastura),2006.0,90,90.0,Mitsubishi,MWT62/1.0,69.0,61.4,-105.08099,34.815,False
1404,IA,Adair County,Arbor Hill,2018.0,17,29.17,Vestas,V110-2.0,95.0,110.0,-94.25361,41.47968,False
1528,IA,Adair County,Arbor Hill 2019,2020.0,17,60.4,Vestas,V110-2.0,95.0,110.0,-94.31039,41.42224,False
1544,OK,Murray County,Arbuckle Mountain,2015.0,50,100.0,Vestas,V110-2.0,80.0,110.0,-97.19896,34.39424,False
1594,OH,Fulton County,Archbold Local Schools Wind Turbine,2012.0,1,0.75,Aeronautica,54-750,65.0,54.0,-84.3159,41.51519,False
1595,IL,Coles County,Arends Brothers,2009.0,1,0.1,Northern Power Systems,NW100,,,-88.02977,39.53131,False
1596,NY,Chautauqua County,Arkwright Summit,2018.0,36,78.4,Vestas,V110-2.0,95.0,110.0,-79.25068,42.42048,False
1632,OK,Garfield County,Armadillo Flats,2018.0,126,247.28,GE Wind,GE1.79-100,80.0,100.0,-97.53968,36.27013,False
1743,PA,Tioga County,Armenia Mountain,2009.0,67,100.5,GE Wind,GE1.5-77,80.0,77.0,-76.9384,41.75589,False
1810,MN,Nobles County,Arnold Wind Farm,2005.0,1,1.65,Vestas,V82-1.65,70.0,82.0,-95.84429,43.75269,False
1811,ND,Steele County,Ashtabula II,2009.0,80,120.0,GE Wind,GE1.5-77,80.0,77.0,-97.93599,47.30269,False
1891,ND,Barnes County,Ashtabula III,2010.0,39,62.4,GE Wind,GE1.6-82.5,80.0,82.5,-97.96419,47.10739,False
1930,ND,Barnes County,Ashtabula Wind Center,2008.0,131,196.5,GE Wind,GE1.5-77,80.0,77.0,-97.88479,47.06949,False
2061,IA,Taylor County,August Wind Energy LLC,2017.0,1,1.79,GE Wind,GE1.79-100,80.0,100.0,-94.47563,40.76495,False
2062,SD,Aurora County,Aurora County Wind,2018.0,9,20.7,GE Wind,GE2.3-116,80.0,116.0,-98.75095,43.71789,False
2071,CO,Adams County,Aurora Wal-Mart,2005.0,1,0.05,Bergey Energy,XL50,52.0,14.0,-104.77309,39.7608,False
2072,HI,Maui County,Auwahi Wind,2012.0,8,24.0,Siemens,SWT-3.0-101,80.0,101.0,-156.31769,20.5898,False
2080,TX,Coke County,Aviator Wind,2020.0,191,525.02,GE Wind,GE2.72-116,90.0,116.0,-100.7183,31.87441,False
2271,WY,Carbon County,BLM-JCI,2010.0,1,0.1,Northern Power Systems,NPS-100,37.0,21.0,-107.24164,41.79748,False
2272,KS,Kiowa County,BTI Wind,2010.0,2,0.07,Endurance,,,,-99.26979,37.6069,False
2273,TX,Kenedy County,Baffin,2015.0,101,202.0,Gamesa,G97-2.0,90.0,97.0,-97.49314,27.19702,False
2375,ND,Burleigh County,Baldwin,2010.0,64,102.4,GE Wind,GE1.6-82.5,80.0,82.5,-100.65719,47.07829,False
2440,OK,Beaver County,Balko Wind,2015.0,162,299.7,GE Wind,GE1.85-87,80.0,87.0,-100.80332,36.54136,False
2602,MA,Barnstable County,Barnstable Wastewater Treatment Facility,2010.0,2,0.2,Northern Power Systems,NW100,37.0,21.0,-70.3048,41.66429,False
2604,CA,San Bernardino County,Barstow Marine Logistics Base,2009.0,1,1.5,AAER,A-1500,80.0,77.0,-116.95979,34.8624,False
2605,IA,Worth County,Barton,2009.0,80,160.0,Gamesa,G87-2.0,78.0,87.0,-93.0919,43.37869,False
2685,TX,Jack County,Barton Chapel,2009.0,60,120.0,Gamesa,G87-2.0,78.0,87.0,-98.37589,33.05729,False
2745,NJ,Hudson County,Bayonne Wind Energy Project,2012.0,1,1.5,Leitner Poma,LTW-77,65.0,77.0,-74.1177,40.65279,False
2746,PA,Luzerne County,Bear Creek,2006.0,12,24.0,Gamesa,G87-2.0,78.0,87.0,-75.75619,41.23592,False
2758,TX,Glasscock County,Bearkat I,2017.0,57,196.65,Vestas,V126-3.45,87.0,126.0,-101.6262,31.75377,False
2815,TX,Glasscock County,Bearkat II,2020.0,47,162.15,Vestas,V126-3.45,87.0,126.0,-101.68945,31.74357,False
2863,IA,Boone County,Beaver Creek,2017.0,85,170.0,Vestas,V110-2.0,95.0,110.0,-94.16252,42.07365,False
2949,IA,Greene County,Beaver Creek II,2018.0,85,170.0,Vestas,V110-2.0,95.0,110.0,-94.20839,42.11522,False
3036,MI,Gratiot County,Beebe 1B,2014.0,21,50.4,Nordex,N117,91.0,117.0,-84.52315,43.31808,False
3058,MI,Gratiot County,Beebe Community Wind,2012.0,34,81.6,Nordex,N117,91.0,117.0,-84.4623,43.28779,False
3092,WV,Greenbrier County,Beech Ridge,2010.0,67,100.5,GE Wind,GE1.5-77,80.0,77.0,-80.5169,38.08219,False
3159,WV,Greenbrier County,Beech Ridge II,2020.0,20,56.2,GE Wind,GE2.82-127,89.0,127.0,-80.61658,38.10968,False
3180,SD,Hutchinson County,"Beethoven Wind, LLC",2015.0,43,79.55,GE Wind,GE1.85-87,80.0,87.0,-98.04273,43.2067,False
3223,OH,Sandusky County,Bellevue High School,2010.0,1,0.1,Northern Power Systems,NPS-100,,,-82.84603,41.28242,False
3224,OR,Baker County,Benson Creek,2017.0,5,10.0,GE Wind,GE2.0-116,80.0,116.0,-117.27673,44.42429,False
3229,MN,Freeborn County,Bent Tree,2011.0,122,201.3,Vestas,V82-1.65,80.0,82.0,-93.49009,43.73699,False
3351,MA,Franklin County,Berkshire East Ski Area,2010.0,1,0.9,PowerWind,PW56,59.0,56.0,-72.8668,42.61629,False
3352,MA,Berkshire County,Berkshire Wind,2011.0,10,15.0,GE Wind,GE1.5-77,80.0,77.0,-73.2751,42.58489,False
3362,MA,Berkshire County,Berkshire Wind Power Project Phase II,2019.0,2,4.6,GE Wind,GE2.3-116,80.0,116.0,-73.27258,42.59658,False
3364,TX,Castro County,Bethel,2017.0,120,276.0,GE Wind,GE2.3-116,80.0,116.0,-102.45788,34.51184,False
3484,AK,Bethel Census Area,Bethel Wind Turbine,2018.0,1,0.9,EWT,DW-52-900,50.0,52.0,-161.88445,60.78136,False
3485,MN,Faribault County,Big Blue Wind Farm,2012.0,18,36.0,Gamesa,G97-2.0,90.0,97.0,-94.23349,43.61959,False
3503,WA,Klickitat County,Big Horn,2006.0,133,199.5,GE Wind,GE1.5-77,80.0,77.0,-120.26318,45.90189,False
3636,WA,Klickitat County,Big Horn 2,2010.0,25,50.0,Gamesa,G90-2.0,78.0,90.0,-120.30153,45.94672,False
3660,PA,Potter County,Big Level,2019.0,25,90.0,GE Wind,GE3.6-137,131.0,137.0,-77.65854,41.8846,False
3685,IL,Bureau County,Big Sky Wind,2011.0,114,239.4,Suzlon,S88,80.0,88.0,-89.49839,41.54809,False
3799,OK,Roger Mills County,Big Smile Wind Farm at Dempsey Ridge,2012.0,66,132.0,Gamesa,G90-2.0,78.0,90.0,-99.84719,35.5327,False
3865,MT,Sweet Grass County,Big Timber,2018.0,14,25.06,GE Wind,GE1.79-100,80.0,100.0,-109.64506,45.81893,False
3879,MI,Huron County,Big Turtle,2014.0,10,20.0,Gamesa,G114-2.0,93.0,114.0,-82.75805,43.8707,False
3889,MI,Huron County,Big Turtle II,2016.0,14,29.4,Gamesa,G114-2.1,93.0,114.0,-82.77428,43.91442,False
3903,IL,Cook County,Big Windy,2009.0,1,0.11,NEG Micon,NM19,25.0,18.9,-87.86519,41.95546,False
3904,OR,Sherman County,Biglow Canyon I,2007.0,76,125.4,Vestas,V82-1.65,80.0,82.0,-120.58518,45.66919,False
3980,OR,Sherman County,Biglow Canyon II,2009.0,65,149.5,Siemens,SWT-2.3-93,80.0,93.0,-120.59669,45.6335,False
4046,OR,Sherman County,Biglow Canyon III,2010.0,76,174.8,Siemens,SWT-2.3-93,80.0,93.0,-120.54809,45.6484,False
4124,MN,Cottonwood County,Bingham Lake,2006.0,12,15.0,Suzlon,S64,63.0,64.0,-95.06849,43.96169,False
4136,ME,Piscataquis County,Bingham Wind,2016.0,56,184.8,Vestas,V112-3.3,94.0,112.0,-69.64282,45.17936,False
4192,IA,Taylor County,Birch Power LLC,2017.0,1,1.79,GE Wind,GE1.79-100,80.0,100.0,-94.4744,40.76769,False
4193,IL,Henry County,Bishop Hill I,2012.0,133,211.38,GE Wind,GE1.62-100,100.0,100.0,-90.1732,41.22619,False
4326,IL,Henry County,Bishop Hill II,2012.0,50,81.0,GE Wind,GE1.62-100,100.0,100.0,-90.15319,41.26289,False
4376,IL,Henry County,Bishop Hill III,2018.0,53,132.1,GE Wind,GE2.5-116,90.0,116.0,-90.31043,41.24196,False
4429,ND,Morton County,Bison 1B (2011),2011.0,7,21.0,Siemens,SWT-3.0-101,80.0,101.0,-101.54719,46.96489,False
4436,ND,Morton County,Bison Wind 1A,2010.0,16,36.8,Siemens,SWT-2.3-101,80.0,101.0,-101.54889,46.97809,False
4453,ND,Oliver County,Bison Wind 1B,2012.0,8,24.0,Siemens,SWT-3.0-101,80.0,101.0,-101.48759,47.00369,False
4462,ND,Morton County,Bison Wind 2,2012.0,35,105.0,Siemens,SWT-3.0-101,80.0,101.0,-101.61369,46.93049,False
4496,ND,Morton County,Bison Wind 3,2012.0,35,105.0,Siemens,SWT-3.0-101,80.0,101.0,-101.43599,46.96929,False
4531,ND,Oliver County,Bison Wind 4,2014.0,64,204.8,Siemens,SWT-3.2-113,92.5,113.0,-101.67914,47.03717,False
4597,IN,Jay County,Bitter Ridge,2020.0,52,146.64,GE Wind,GE2.82-127,89.0,127.0,-85.16214,40.31718,False
4649,AR,Washington County,Bitworks,2003.0,1,0.1,NEG Micon,Micon 100,,,-94.334,35.97639,False
4650,MN,Stearns County,Black Oak Getty,2016.0,39,78.0,Vestas,V110-2.0,80.0,110.0,-95.01148,45.64781,False
4690,IL,LaSalle County,Blackstone (Top Crop),2009.0,68,102.0,GE Wind,GE1.5-77,80.0,77.0,-88.6001,41.14539,False
4759,IL,Grundy County,Blackstone (Top Crop) II,2010.0,132,198.0,GE Wind,GE1.5-77,80.0,77.0,-88.5442,41.13189,False
4891,OK,Kay County,Blackwell,2012.0,26,59.8,Siemens,SWT-2.3-108,80.0,108.0,-97.4251,36.86459,False
4917,MN,Lincoln County,Blazing Star 1,2020.0,100,200.0,Vestas,V120-2.0,80.0,120.0,-96.31256,44.56853,False
4963,CA,Kern County,unknown Tehachapi Wind Resource Area 3,2005.0,59,35.4,,,,,-118.27609,35.051,False
5019,RI,Washington County,Block Island,2016.0,5,30.0,GE Wind,Haliade 150-6,106.0,150.0,-71.51395,41.11993,False
5024,KS,Ford County,Bloom,2017.0,54,178.2,Vestas,V117-3.3,91.5,117.0,-99.97247,37.48224,False
5078,IL,McLean County,Blooming Grove,2020.0,94,260.92,GE Wind,GE2.82-127,89.0,127.0,-88.84875,40.65735,False
5172,MN,Faribault County,Blue Breezes I & II,2006.0,2,2.5,Suzlon,S64,78.0,64.0,-94.15639,43.65583,False
5174,OK,Comanche County,Blue Canyon I,2003.0,45,74.25,NEG Micon,NM72,70.0,72.0,-98.56749,34.84689,False
5220,OK,Kiowa County,Blue Canyon II,2005.0,84,151.2,Vestas,V80-1.8,67.0,80.0,-98.67379,34.8798,False
5304,OK,Comanche County,Blue Canyon V,2009.0,66,99.0,GE Wind,GE1.5-77,80.0,77.0,-98.44619,34.79499,False
5371,OK,Caddo County,Blue Canyon VI,2011.0,55,99.0,Vestas,V90-1.8,80.0,90.0,-98.5538,34.90699,False
5427,TX,Bailey County,Blue Cloud I,2018.0,43,148.35,Vestas,V126-3.45,87.0,126.0,-102.62096,34.07409,False
5470,OH,Van Wert County,Blue Creek,2012.0,152,304.0,Gamesa,G90-2.0,100.0,90.0,-84.63619,40.93539,False
5623,WI,Fond du Lac County,Blue Sky - Green Field,2008.0,88,145.2,Vestas,V82-1.65,80.0,82.0,-88.2999,43.90479,False
5711,TX,Wilbarger County,Blue Summit,2012.0,85,135.4,GE Wind,GE1.6-87,80.0,87.0,-99.38919,34.3486,False
5796,TX,Hardeman County,Blue Summit II,2018.0,41,99.36,GE Wind,GE2.5-116,90.0,116.0,-99.47807,34.20541,False
5824,TX,Hardeman County,Blue Summit III,2019.0,82,200.2,GE Wind,GE2.5-127,89.0,127.0,-99.53539,34.15688,False
5906,MO,Gentry County,Bluegrass Ridge,2007.0,27,56.7,Suzlon,S88,80.0,88.0,-94.51399,40.08389,False
5933,OK,Beaver County,Bluestem,2016.0,60,198.0,Vestas,V117-3.3,91.5,117.0,-100.58143,36.60811,False
5993,IN,Randolph County,Bluff Point,2017.0,57,119.7,GE Wind,GE2.1-116,94.0,116.0,-84.93153,40.3029,False
6050,TX,Archer County,Bobcat Bluff,2012.0,100,150.0,GE Wind,GE1.62-91,80.0,91.0,-98.58051,33.50364,False
6150,OK,Woodward County,Boiling Springs,2020.0,60,148.4,GE Wind,GE2.3-116,90.0,116.0,-99.35055,36.5669,False
6210,VT,Chittenden County,Bolton Valley Resort,2009.0,1,0.1,Northern Power Systems,NW100,37.0,21.0,-72.83472,44.41446,False
6211,ND,Rolette County,Border Winds Project,2015.0,75,150.0,Vestas,V100-2.0,95.0,100.0,-99.64482,48.9743,False
6288,OH,Wood County,Bowling Green Municipal,2003.0,2,3.6,Vestas,V80-1.8,78.0,80.0,-83.741,41.37429,False
6290,OH,Columbiana County,Boyce Dairy Farm,2010.0,1,0.1,Northern Power Systems,NPS-100,,,-81.04547,40.8686,False
